S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.00,0.67,2.32,2.50,0.00,0.00,0.00447,0.00380,0.00011,0.00000,0.002092697
0.03,0.70,2.32,2.50,0.00,0.00,0.00447,0.00380,0.00011,0.00000,0.002092697
0.00,0.69,2.31,2.50,0.00,0.00,0.00447,0.00380,0.00011,0.00000,0.002092697
0.00,0.69,2.32,2.50,0.00,0.00,0.00447,0.00380,0.00011,0.00000,0.002092697
0.00,0.70,2.32,2.50,0.00,0.00,0.00447,0.00380,0.00011,0.00000,0.002092697
0.00,0.70,2.32,2.50,0.00,0.00,0.00447,0.00380,0.00011,0.00000,0.002092697
0.00,0.69,2.32,2.50,0.00,0.00,0.00447,0.00380,0.00011,0.00000,0.002092697
0.00,0.70,2.32,2.50,0.00,0.00,0.00447,0.00380,0.00011,0.00000,0.002092697
0.30,1.10,1.50,2.50,0.00,0.00,0.03091,0.00786,0.00116,0.00000,0.009980332
0.32,1.10,1.50,2.50,0.00,0.00,0.03091,0.00786,0.00116,0.00000,0.009980332
0.30,1.16,1.50,2.50,0.00,0.00,0.02337,0.00438,0.00081,0.00000,0.007141137
0.30,1.10,1.58,2.50,0.00,0.00,0.03085,0.00781,0.00117,0.00000,0.009957732
0.28,1.14,1.55,2.50,0.00,0.00,0.02539,0.00519,0.00092,0.00000,0.007874532
0.29,1.16,1.58,2.50,0.00,0.00,0.02331,0.00434,0.00082,0.00000,0.007117208
0.29,1.19,1.62,2.50,0.00,0.00,0.02206,0.00390,0.00076,0.00000,0.006679792
0.28,1.22,1.54,2.50,0.00,0.00,0.02110,0.00354,0.00070,0.00000,0.006334960
0.27,1.28,1.53,2.50,0.00,0.00,0.01835,0.00218,0.00057,0.00000,0.005273477
0.28,1.28,1.55,2.50,0.00,0.00,0.01833,0.00217,0.00057,0.00000,0.005268130
0.29,1.36,1.55,2.50,0.00,0.00,0.01141,0.00486,0.00025,0.00000,0.004128370
0.26,1.40,1.63,2.50,0.00,0.00,0.00971,0.00525,0.00018,0.00000,0.003784292
0.24,1.52,1.70,2.50,0.00,0.00,0.00798,0.00540,0.00011,0.00000,0.003371847
0.24,1.58,1.56,2.50,0.00,0.00,0.00739,0.00579,0.00009,0.00000,0.003318520
0.22,1.78,1.53,2.50,0.00,0.00,0.00603,0.00585,0.00008,0.00000,0.002987342
0.23,1.82,1.66,2.50,0.00,0.00,0.00583,0.00572,0.00007,0.00000,0.002907627
0.21,2.09,1.72,2.50,0.00,0.00,0.00554,0.00559,0.00007,0.00000,0.002801897
0.16,2.24,1.75,2.50,0.00,0.00,0.00565,0.00556,0.00007,0.00000,0.002822720
0.16,2.50,1.63,2.50,0.00,0.00,0.00630,0.00566,0.00008,0.00000,0.003010545
0.18,2.29,1.65,2.50,0.00,0.00,0.00581,0.00567,0.00007,0.00000,0.002887655
0.14,2.50,1.89,2.50,0.00,0.00,0.00604,0.00523,0.00008,0.00000,0.002838222
0.17,2.26,1.93,2.50,0.00,0.00,0.00549,0.00522,0.00007,0.00000,0.002695717
0.16,2.24,2.07,2.50,0.00,0.00,0.00520,0.00480,0.00007,0.00000,0.002518157
0.21,1.88,1.80,2.50,0.00,0.00,0.00560,0.00549,0.00007,0.00000,0.002791492
0.22,1.91,1.98,2.50,0.00,0.00,0.00535,0.00512,0.00007,0.00000,0.002635655
0.19,1.93,2.17,2.50,0.00,0.00,0.00491,0.00444,0.00007,0.00000,0.002354515
0.17,1.85,2.40,2.50,0.00,0.00,0.00434,0.00331,0.00016,0.00000,0.001951485
0.16,2.12,2.49,2.50,0.00,0.00,0.00384,0.00279,0.00020,0.00000,0.001709200
0.13,2.24,2.84,2.50,0.00,0.00,0.00259,0.00167,0.00049,0.00000,0.001187385
0.09,2.31,2.89,2.50,0.00,0.00,0.00246,0.00182,0.00057,0.00000,0.001213152
0.11,2.02,3.35,2.50,0.00,0.00,0.00338,0.00857,0.00118,0.00000,0.003283085
0.15,2.19,2.39,2.50,0.00,0.00,0.00433,0.00347,0.00014,0.00000,0.001984040
0.12,2.08,3.03,2.50,0.00,0.00,0.00170,0.00318,0.00069,0.00000,0.001391042
0.05,2.50,3.44,2.50,0.00,0.00,0.00404,0.01057,0.00139,0.00000,0.004000783
0.14,2.03,2.66,2.50,0.00,0.00,0.00308,0.00200,0.00032,0.00000,0.001348367
0.13,2.31,2.56,2.50,0.00,0.00,0.00381,0.00256,0.00026,0.00000,0.001657420
0.12,2.14,2.91,2.50,0.00,0.00,0.00220,0.00173,0.00056,0.00000,0.001122027
0.09,2.43,3.10,2.50,0.00,0.00,0.00191,0.00449,0.00082,0.00000,0.001806282
0.13,2.13,2.77,2.50,0.00,0.00,0.00274,0.00158,0.00041,0.00000,0.001181600
0.17,2.02,2.79,2.50,0.00,0.00,0.00259,0.00160,0.00044,0.00000,0.001157130
0.14,1.95,2.81,2.50,0.00,0.00,0.00263,0.00161,0.00044,0.00000,0.001171917
0.16,1.94,2.91,2.50,0.00,0.00,0.00222,0.00174,0.00056,0.00000,0.001129727
0.15,2.11,2.93,2.50,0.00,0.00,0.00203,0.00218,0.00060,0.00000,0.001202430
0.15,1.99,2.84,2.50,0.00,0.00,0.00247,0.00162,0.00048,0.00000,0.001142760
0.12,2.03,2.98,2.50,0.00,0.00,0.00187,0.00266,0.00064,0.00000,0.001292150
0.15,2.02,2.84,2.50,0.00,0.00,0.00246,0.00162,0.00048,0.00000,0.001139712
0.14,2.08,2.93,2.50,0.00,0.00,0.00203,0.00218,0.00060,0.00000,0.001199502
0.15,2.01,2.86,2.50,0.00,0.00,0.00233,0.00165,0.00052,0.00000,0.001125040
0.13,2.04,2.95,2.50,0.00,0.00,0.00202,0.00217,0.00060,0.00000,0.001198452
0.15,2.03,2.87,2.50,0.00,0.00,0.00232,0.00165,0.00051,0.00000,0.001121995
0.12,2.17,2.86,2.50,0.00,0.00,0.00239,0.00167,0.00052,0.00000,0.001145272
0.15,2.00,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.13,2.10,2.92,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001117302
0.13,2.14,2.95,2.50,0.00,0.00,0.00205,0.00218,0.00060,0.00000,0.001207345
0.16,1.95,2.87,2.50,0.00,0.00,0.00237,0.00166,0.00052,0.00000,0.001136755
0.13,2.09,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001117302
0.13,2.10,2.95,2.50,0.00,0.00,0.00203,0.00218,0.00060,0.00000,0.001202430
0.14,2.05,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.12,2.15,2.91,2.50,0.00,0.00,0.00222,0.00174,0.00056,0.00000,0.001128802
0.14,2.04,2.90,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.15,2.03,2.90,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001114957
0.15,1.98,2.87,2.50,0.00,0.00,0.00235,0.00166,0.00052,0.00000,0.001129973
0.14,2.07,2.91,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001114572
0.14,2.07,2.90,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001114572
0.14,2.06,2.90,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.03,2.88,2.50,0.00,0.00,0.00232,0.00165,0.00051,0.00000,0.001121995
0.14,2.06,2.90,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.04,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.05,2.90,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.04,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.05,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.05,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.04,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.05,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.04,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.05,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.05,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.04,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.05,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.04,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.05,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
0.14,2.05,2.89,2.50,0.00,0.00,0.00218,0.00173,0.00055,0.00000,0.001113795
