S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.24,1.52,1.70,0.25,0.00,0.00,0.00350,0.00431,0.00005,0.00000,0.001965413
0.24,1.58,1.56,0.25,0.00,0.00,0.00345,0.00466,0.00005,0.00000,0.002040035
0.24,1.69,1.68,0.25,0.00,0.00,0.00292,0.00421,0.00004,0.00000,0.001792310
0.23,1.89,1.76,0.25,0.00,0.00,0.00274,0.00394,0.00004,0.00000,0.001678772
0.19,1.98,1.79,0.25,0.00,0.00,0.00281,0.00379,0.00005,0.00000,0.001662418
0.14,2.29,1.92,0.25,0.00,0.00,0.00354,0.00334,0.00013,0.00000,0.001752018
0.20,2.01,1.94,0.25,0.00,0.00,0.00245,0.00306,0.00009,0.00000,0.001401883
0.17,2.23,2.14,0.25,0.00,0.00,0.00230,0.00162,0.00027,0.00000,0.001048045
0.16,2.50,2.09,0.25,0.00,0.00,0.00368,0.00227,0.00029,0.00000,0.001559208
0.12,2.50,2.26,0.25,0.00,0.00,0.00276,0.00103,0.00043,0.00000,0.001054982
0.10,2.50,2.53,0.25,0.00,0.00,0.00125,0.00414,0.00077,0.00000,0.001538170
0.11,2.32,2.52,0.25,0.00,0.00,0.00121,0.00413,0.00072,0.00000,0.001516463
0.16,2.20,2.08,0.25,0.00,0.00,0.00246,0.00207,0.00022,0.00000,0.001187515
0.19,2.30,1.79,0.25,0.00,0.00,0.00402,0.00398,0.00009,0.00000,0.002021627
0.13,2.31,2.34,0.25,0.00,0.00,0.00141,0.00136,0.00048,0.00000,0.000811495
0.12,2.50,2.41,0.25,0.00,0.00,0.00174,0.00263,0.00064,0.00000,0.001251525
0.15,2.27,2.16,0.25,0.00,0.00,0.00239,0.00138,0.00030,0.00000,0.001020237
0.18,2.04,2.17,0.25,0.00,0.00,0.00148,0.00128,0.00025,0.00000,0.000751948
0.21,1.81,2.12,0.25,0.00,0.00,0.00139,0.00172,0.00019,0.00000,0.000826268
0.13,2.19,2.31,0.25,0.00,0.00,0.00115,0.00095,0.00042,0.00000,0.000629847
0.11,2.17,2.40,0.25,0.00,0.00,0.00062,0.00213,0.00052,0.00000,0.000817345
0.15,2.09,2.38,0.25,0.00,0.00,0.00064,0.00211,0.00050,0.00000,0.000813868
0.15,2.14,2.33,0.25,0.00,0.00,0.00072,0.00131,0.00044,0.00000,0.000618400
0.18,1.93,2.20,0.25,0.00,0.00,0.00108,0.00098,0.00026,0.00000,0.000580580
0.21,1.74,2.13,0.25,0.00,0.00,0.00129,0.00150,0.00021,0.00000,0.000751190
0.13,2.13,2.39,0.25,0.00,0.00,0.00062,0.00213,0.00051,0.00000,0.000816035
0.17,2.06,2.22,0.25,0.00,0.00,0.00123,0.00073,0.00031,0.00000,0.000567907
0.20,1.90,2.19,0.25,0.00,0.00,0.00101,0.00097,0.00026,0.00000,0.000558882
0.23,1.75,2.13,0.25,0.00,0.00,0.00127,0.00149,0.00021,0.00000,0.000744353
0.22,1.79,2.08,0.25,0.00,0.00,0.00152,0.00195,0.00017,0.00000,0.000908933
