S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
0.59,0.21,2.14,2.33,0.0,0.0,0.026069999999999996,0.0019051482536448666,0.027975148253644864
0.59,2.16,2.14,2.33,0.0,0.0,0.027930000000000003,0.0019051482536448666,0.02983514825364487
0.59,2.16,0.84,2.33,0.0,0.0,0.02986,0.0018931933404003516,0.03175319334040035
0.59,2.16,0.84,0.53,0.0,0.0,0.02986,0.0018931933404003516,0.03175319334040035
1.22,1.98,1.3,3.65,0.0,0.0,0.0586,0.0019051482536448666,0.060505148253644864
1.2,1.71,1.9,3.42,0.0,0.0,0.07252,0.0018649066177207417,0.07438490661772074
0.98,2.09,2.07,3.81,0.0,0.0,0.1429,0.0019051482536448666,0.14480514825364488
0.57,2.35,1.51,0.24,0.0,0.0,0.03397,0.0019051482536448666,0.035875148253644865
0.57,1.07,1.51,0.24,0.0,0.0,0.08174999999999999,0.0019051482536448666,0.08365514825364485
0.57,1.07,2.0,0.24,0.0,0.0,0.08033,0.0019051482536448666,0.08223514825364486
0.57,1.07,2.0,0.78,0.0,0.0,0.08033,0.0019051482536448666,0.08223514825364486
0.17,1.04,1.91,3.06,0.0,0.0,0.08058,0.0019051482536448666,0.08248514825364486
0.45,1.14,2.2,1.88,0.0,0.0,0.09337999999999999,0.0019051482536448666,0.09528514825364486
0.25,0.35,0.08,3.53,0.0,0.0,0.02789,0.0019051482536448666,0.02979514825364487
1.34,0.35,0.08,3.53,0.0,0.0,0.02686,0.0019051482536448666,0.028765148253644866
1.34,0.35,2.87,3.53,0.0,0.0,0.02217,0.0019051482536448666,0.024075148253644867
1.34,0.35,2.87,3.04,0.0,0.0,0.02217,0.0019051482536448666,0.024075148253644867
1.27,1.37,1.08,0.19,0.0,0.0,0.03964,0.0019051482536448666,0.041545148253644866
1.27,1.81,1.08,0.19,0.0,0.0,0.027749999999999997,0.0019051482536448666,0.029655148253644865
1.27,1.81,1.17,0.19,0.0,0.0,0.027749999999999997,0.0018931933404003516,0.02964319334040035
1.27,1.81,1.17,2.25,0.0,0.0,0.027749999999999997,0.0018931933404003516,0.02964319334040035
0.98,0.04,2.0,1.19,0.0,0.0,0.14229000000000003,0.0019051482536448666,0.1441951482536449
1.05,0.24,1.76,1.48,0.0,0.0,0.15079,0.0019051482536448666,0.15269514825364489
1.24,1.05,0.98,3.39,0.0,0.0,0.053790000000000004,0.0019051482536448666,0.05569514825364487
0.29,1.05,0.98,3.39,0.0,0.0,0.08238,0.0019051482536448666,0.08428514825364486
0.29,1.19,0.98,3.39,0.0,0.0,0.09949,0.0019051482536448666,0.10139514825364486
0.29,1.19,1.1,3.39,0.0,0.0,0.09937,0.0019051482536448666,0.10127514825364486
0.29,1.19,1.1,2.98,0.0,0.0,0.09937,0.0019051482536448666,0.10127514825364486
1.49,0.16,1.12,2.67,0.0,0.0,0.02792,0.0019051482536448666,0.029825148253644868
0.02,1.56,0.44,1.05,0.0,0.0,0.03044,0.0019051482536448666,0.032345148253644866
0.61,1.92,2.65,2.54,0.0,0.0,0.02314,0.0019051482536448666,0.02504514825364487
0.37,1.14,1.98,0.46,0.0,0.0,0.09349,0.0019051482536448666,0.09539514825364487
0.37,1.22,1.98,0.46,0.0,0.0,0.07718,0.0018298019099859595,0.07900980190998595
0.37,1.22,2.59,0.46,0.0,0.0,0.07712,0.0018298019099859595,0.07894980190998595
0.37,1.22,2.59,0.17,0.0,0.0,0.07712,0.0018298019099859595,0.07894980190998595
0.04,0.93,2.25,1.62,0.0,0.0,0.11036,0.0019051482536448666,0.11226514825364486
1.45,1.82,0.73,1.12,0.0,0.0,0.02664,0.0018931933404003516,0.028533193340400352
1.03,2.32,2.89,3.83,0.0,0.0,0.15425999999999998,0.0019051482536448666,0.15616514825364486
0.15,0.12,0.99,2.98,0.0,0.0,0.027909999999999997,0.0019051482536448666,0.029815148253644865
0.15,0.06,0.99,2.98,0.0,0.0,0.027909999999999997,0.0019051482536448666,0.029815148253644865
0.15,0.06,0.76,2.98,0.0,0.0,0.02793,0.0019051482536448666,0.029835148253644868
0.15,0.06,0.76,3.18,0.0,0.0,0.02793,0.0019051482536448666,0.029835148253644868
1.32,2.24,2.44,2.32,0.0,0.0,0.0271,0.0019051482536448666,0.029005148253644867
0.16,0.57,2.66,2.35,0.0,0.0,0.024280000000000003,0.0019051482536448666,0.02618514825364487
0.29,0.57,2.66,2.35,0.0,0.0,0.024280000000000003,0.0019051482536448666,0.02618514825364487
0.29,1.91,2.66,2.35,0.0,0.0,0.02314,0.0019051482536448666,0.02504514825364487
0.29,1.91,0.54,2.35,0.0,0.0,0.02669,0.0019051482536448666,0.028595148253644866
0.29,1.91,0.54,2.63,0.0,0.0,0.02669,0.0019051482536448666,0.028595148253644866
0.33,1.7,0.44,1.93,0.0,0.0,0.027630000000000002,0.0019051482536448666,0.02953514825364487
1.47,0.18,1.37,2.24,0.0,0.0,0.02786,0.0019051482536448666,0.029765148253644867
0.63,1.37,2.51,1.59,0.0,0.0,0.03899,0.0019051482536448666,0.04089514825364486
1.41,1.37,2.51,1.59,0.0,0.0,0.038060000000000004,0.0018866951493840523,0.03994669514938406
1.41,1.23,2.51,1.59,0.0,0.0,0.06631,0.0019051482536448666,0.06821514825364486
1.41,1.23,0.48,1.59,0.0,0.0,0.06876,0.0019051482536448666,0.07066514825364487
1.41,1.23,0.48,2.18,0.0,0.0,0.06876,0.0019051482536448666,0.07066514825364487
1.45,2.08,2.17,3.45,0.0,0.0,0.026400000000000003,0.0019051482536448666,0.02830514825364487
0.55,2.08,2.17,3.45,0.0,0.0,0.026480000000000004,0.0019051482536448666,0.02838514825364487
0.55,1.08,2.17,3.45,0.0,0.0,0.08013999999999999,0.0019051482536448666,0.08204514825364485
0.55,1.08,0.43,3.45,0.0,0.0,0.08255,0.0019051482536448666,0.08445514825364486
0.55,1.08,0.43,0.93,0.0,0.0,0.08255,0.0019051482536448666,0.08445514825364486
0.02,0.08,0.64,0.52,0.0,0.0,0.02794,0.0019051482536448666,0.029845148253644867
0.57,1.49,0.47,1.66,0.0,0.0,0.03309,0.0019051482536448666,0.034995148253644866
1.14,1.49,0.47,1.66,0.0,0.0,0.13877,0.0019051482536448666,0.14067514825364488
1.14,2.44,0.47,1.66,0.0,0.0,0.14419,0.0019051482536448666,0.1460951482536449
1.14,2.44,0.06,1.66,0.0,0.0,0.14415,0.0019051482536448666,0.14605514825364488
1.14,2.44,0.06,2.61,0.0,0.0,0.14415,0.0019051482536448666,0.14605514825364488
0.59,2.29,2.65,0.24,0.0,0.0,0.0281,0.0019051482536448666,0.030005148253644868
0.27,1.47,2.95,0.15,0.0,0.0,0.028179999999999997,0.0019051482536448666,0.030085148253644865
0.4,2.04,2.04,3.91,0.0,0.0,0.02625,0.0019051482536448666,0.028155148253644867
1.22,0.08,0.68,2.36,0.0,0.0,0.05963,0.0019051482536448666,0.06153514825364487
0.57,0.08,0.68,2.36,0.0,0.0,0.02793,0.0019051482536448666,0.029835148253644868
0.57,0.15,0.68,2.36,0.0,0.0,0.02793,0.0019051482536448666,0.029835148253644868
0.57,0.15,2.82,2.36,0.0,0.0,0.023469999999999998,0.0019051482536448666,0.025375148253644866
0.57,0.15,2.82,2.71,0.0,0.0,0.023469999999999998,0.0019051482536448666,0.025375148253644866
0.42,0.04,1.08,0.21,0.0,0.0,0.027899999999999998,0.0019051482536448666,0.029805148253644866
0.52,0.04,1.08,0.21,0.0,0.0,0.027899999999999998,0.0019051482536448666,0.029805148253644866
