S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.11,0.46,2.24,0.25,0.00,0.00,1.50203,1.21044,0.00000,0.00000,0.678117650
0.11,0.45,2.36,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113545070
0.11,0.45,2.28,0.25,0.00,0.00,0.26471,0.18946,0.00000,0.00000,0.113544490
0.11,0.45,2.20,0.25,0.00,0.00,0.26470,0.18948,0.00000,0.00000,0.113546853
0.11,0.45,2.33,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543838
0.11,0.45,2.33,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543838
0.11,0.45,2.35,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543838
0.11,0.45,2.38,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113545070
0.11,0.45,2.31,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.30,0.25,0.00,0.00,0.26471,0.18946,0.00000,0.00000,0.113544490
0.11,0.45,2.34,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543838
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.33,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543838
0.11,0.45,2.31,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.31,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.33,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543838
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.31,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.31,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.32,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.11,0.45,2.31,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113543593
0.10,0.40,1.50,0.25,0.00,0.00,70.00000,3.03552,0.00000,0.00000,18.258879505
3.60,0.40,1.50,0.25,0.00,0.00,1.30347,0.78505,0.00002,0.00000,0.522133335
3.60,3.90,1.50,0.25,0.00,0.00,1.15763,0.68254,0.00015,0.00000,0.460079985
3.60,3.90,5.00,0.25,0.00,0.00,1.15560,0.67861,0.00003,0.00000,0.458559547
1.50,1.50,2.50,0.25,0.00,0.00,1.81891,1.83698,0.00000,0.00000,0.913973378
1.50,1.21,2.82,0.25,0.00,0.00,0.99139,0.30779,0.00001,0.00000,0.324797858
1.18,1.72,2.70,0.25,0.00,0.00,0.90689,0.33374,0.00000,0.00000,0.310157695
1.80,1.74,2.71,0.25,0.00,0.00,8.82752,3.09531,0.00000,0.00000,2.980709425
0.77,1.03,2.38,0.25,0.00,0.00,1.91120,1.46348,0.00000,0.00000,0.843671072
0.65,1.50,2.50,0.25,0.00,0.00,0.28486,0.17830,0.00000,0.00000,0.115790913
0.58,1.50,2.07,0.25,0.00,0.00,1.54524,1.26593,0.00000,0.00000,0.702793195
0.86,1.50,2.50,0.25,0.00,0.00,3.22863,4.57191,0.00000,0.00000,1.950133110
0.43,1.50,2.50,0.25,0.00,0.00,2.52947,3.21322,0.00000,0.00000,1.435672000
0.54,1.50,2.50,0.25,0.00,0.00,1.07460,0.37120,0.00000,0.00000,0.361450175
0.65,1.50,2.55,0.25,0.00,0.00,0.28488,0.17827,0.00000,0.00000,0.115787985
0.76,1.50,2.50,0.25,0.00,0.00,2.22417,0.53879,0.00000,0.00000,0.690740203
0.65,1.55,2.50,0.25,0.00,0.00,1.23340,0.69845,0.00000,0.00000,0.482962578
0.58,1.42,2.50,0.25,0.00,0.00,1.79803,1.75935,0.00000,0.00000,0.889345325
0.59,1.50,2.50,0.25,0.00,0.00,0.37052,0.32344,0.00000,0.00000,0.173489958
0.67,1.50,2.50,0.25,0.00,0.00,2.43635,3.02941,0.00000,0.00000,1.366440090
0.65,1.51,2.50,0.25,0.00,0.00,1.19064,0.61217,0.00000,0.00000,0.450702353
0.62,1.49,2.50,0.25,0.00,0.00,2.38140,0.84513,0.00000,0.00000,0.806632383
0.63,1.49,2.50,0.25,0.00,0.00,1.20481,0.32825,0.00000,0.00000,0.383264505
0.65,1.50,2.49,0.25,0.00,0.00,0.28486,0.17830,0.00000,0.00000,0.115790913
0.66,1.49,2.50,0.25,0.00,0.00,0.12155,0.12824,0.00000,0.00000,0.062448833
0.66,1.50,2.50,0.25,0.00,0.00,0.12155,0.12824,0.00000,0.00000,0.062448833
0.66,1.49,2.50,0.25,0.00,0.00,0.12155,0.12824,0.00000,0.00000,0.062448833
0.66,1.49,2.50,0.25,0.00,0.00,0.12155,0.12824,0.00000,0.00000,0.062448833
0.66,1.49,2.50,0.25,0.00,0.00,0.12155,0.12824,0.00000,0.00000,0.062448833
0.66,1.49,2.50,0.25,0.00,0.00,0.12155,0.12824,0.00000,0.00000,0.062448833
0.66,1.49,2.50,0.25,0.00,0.00,0.12155,0.12824,0.00000,0.00000,0.062448833
0.10,0.90,1.50,0.25,0.00,0.00,1.31527,0.85031,0.00000,0.00000,0.541396583
0.11,0.90,1.50,0.25,0.00,0.00,1.31527,0.85031,0.00000,0.00000,0.541396583
0.10,0.95,1.50,0.25,0.00,0.00,0.36388,0.31624,0.00000,0.00000,0.170029980
0.10,0.90,1.58,0.25,0.00,0.00,1.31528,0.85031,0.00000,0.00000,0.541396283
